k,wavelength
1.1336405144873154,1.0571184995737426
1.137564066797735,1.0607356715141145
1.1415902046735642,1.0644690531376084
1.1455460976737004,1.068136790421225
1.142126664564682,1.071829890223874
1.1387848419204378,1.0756419153365717
1.1427952651054318,1.0793871866295264
1.139335221988227,1.0831586303284415
1.1434531170069628,1.087051810291926
1.1474997616213436,1.090877100378288
1.14412296719536,1.0948260639237153
1.1406231740584247,1.0987063618642565
1.1482010208640272,1.0987063618642565
1.1447032765066238,1.102614262849013
1.1412850364364364,1.106648817492191
1.1454203730284138,1.1106135244066278
1.149665433393449,1.1147069399496583
1.1538377929942991,1.1187297004691446
1.1503017895271577,1.1227816008692502
1.1546117141296177,1.126965373080069
1.1588718549164452,1.1310772598741219
1.1631394189599504,1.1352192621074795
1.1675456351243838,1.1394964160999816
1.171877082625073,1.1437004242759639
1.176373556840698,1.1480418479770391
1.18077042251224,1.1523092649382027
1.185200097579101,1.15660852532413
1.1897743423137,1.1610486891385767
1.1942959996485176,1.1654135338345863
1.1989403874747966,1.16992169072554
1.2035068564924658,1.1743536319727246
1.208222915842937,1.178931355771059
1.212884910471516,1.1834319526627217
1.2175577528140462,1.1879670434949223
1.2223841065787167,1.1926517264595555
1.2271301813844064,1.1972578932123201
1.2403425528465275,1.202016285381931
1.2451959515848685,1.2066952121448034
1.2500872823447697,1.211410707307542
1.2551655782336362,1.2162824914173613
1.260135193944646,1.2210733628754307
1.2652692030054824,1.2260233339924855
1.2703188945960577,1.2308914036132617
1.2754347413701614,1.2357982858281842
1.2808218595568879,1.2409927942353884
1.2945869653279416,1.2459807073954985
1.2998375096187735,1.2510088781275222
1.3051569316205323,1.2560777957860616
1.3194605066982528,1.261444557477111
1.324851560862495,1.2665985699693565
1.3303668517469298,1.2717948717948717
1.3358740281129664,1.2770339855818744
1.3414267654286731,1.2823164426059979
1.3384221702578591,1.2879102617366016
1.3440330177700017,1.2932832707551105
1.3497180994420366,1.2987012987012987
1.3464313673007429,1.3041649137568363
1.3521471557307054,1.309674693705112
1.3488459535468662,1.3152312261349173
1.3458064619478267,1.3211165565736203
1.3549093746796794,1.3211165565736203
1.3333198982753551,1.326770811042157
1.3424554521243388,1.326770811042157
1.3299071357669043,1.3324736728992048
1.317263185582514,1.3382257716382473
1.3264680749677635,1.3382257716382473
1.3044942646414566,1.3440277476696294
1.3137607593246188,1.3440277476696294
1.3009273777931838,1.3498802525582407
1.2883046204458612,1.3560804899387577
1.2976445521484061,1.3560804899387577
1.2752980185906628,1.3620386643233744
1.2846441129839534,1.3620386643233744
1.2621610179653924,1.3680494263018534
1.2715704042833091,1.3680494263018534
1.2489777709419991,1.374113475177305
1.2583937497203475,1.374113475177305
1.226184493334511,1.3802315227070348
1.235661355210178,1.3802315227070348
1.2451127563399047,1.3802315227070348
1.2222100256703459,1.3864042933810377
1.19915994232973,1.3926325247079965
1.2086798877199225,1.3926325247079965
1.2182031053979254,1.3926325247079965
1.1953104449075311,1.3992326788535319
1.2048722329677257,1.3992326788535319
1.1911574607715698,1.4055769666742235
1.1773309567760097,1.4119790480528354
1.1869699356842507,1.4119790480528354
1.1730676215409332,1.4184397163120568
1.1590507969380046,1.4249597793610664
1.168768406503265,1.4249597793610664
1.1546736632475318,1.4315400600323251
1.1505261355899732,1.4385150812064966
1.146074133858843,1.4452214452214451
1.1415837928089358,1.4519906323185012
1.1469861441427585,1.4588235294117646
1.1424610381202955,1.4657210401891254
1.1378963471489778,1.4726840855106889
1.133562041911173,1.480066841728336
1.1390308418786066,1.4871671863756297
1.1343894047300103,1.4943359845745963
1.1399462159640055,1.5015742310486802
1.135267515491645,1.5088829398880506
1.1308230991210946,1.5166340508806262
1.1363827013783272,1.5240904621435596
1.1420605090626725,1.5316205533596838
1.1477311173499747,1.5392254220456802
1.1535541688874138,1.5469061876247505
1.1596621934382596,1.5550539252570854
1.1655410188325863,1.5628938744643308
1.1607747186739183,1.5708132759057511
1.1667516782520457,1.578813343519226
1.1727898302833544,1.586895316099309
1.1791605456322642,1.59547092125579
1.185293816313961,1.603724780134506
1.1914908755968336,1.6120644825793031
1.1977861827745122,1.6204913748039729
1.2041140171753795,1.62900683131897
1.210828524062499,1.6380449141347424
1.2172945492474105,1.6467463479415672
1.2238638202923806,1.6555407209612818
1.2191646549769641,1.6644295302013423
1.2257803808270107,1.6734143049932524
1.2328024653289156,1.6829533116178066
1.228077732531284,1.6921397379912664
1.234853111937662,1.7014270032930845
1.2300561854461043,1.7108167770419427
1.2369532144818582,1.7203107658157604
1.2323617156211941,1.7301520859494908
1.2393141712509421,1.739862494738319
1.2464849137038478,1.7499294383290995
1.2416971323050947,1.7598637524836787
1.2488229504008432,1.7699115044247788
1.2560672959913852,1.7800746482917025
1.2635408492356761,1.7906137184115523
1.258707151375344,1.8010167029774873
1.2662849572956911,1.8118059614260666
1.273804419393074,1.8224573780129336
1.2689491184448765,1.8332347723240685
1.2642282994623921,1.8444146958203183
1.271833337588041,1.8554541373634594
1.2668862805609151,1.8666265241607707
1.2620747262029726,1.8782187215995152
1.2570157753279316,1.8896677842121303
1.252091100818696,1.9015488422021163
1.2598582101899578,1.91328498688474
1.254699251784659,1.9251668995497593
1.2627769978731607,1.9375
1.2707991507020173,1.949685534591195
1.2790849034496343,1.9623358126285804
1.2872738352596071,1.974836757445453
1.2955677702444743,1.9874979964737938
1.304220253834436,2.000645369474024
1.3263544970382921,2.013640792465086
1.3352862493810012,2.027137485695602
1.3441592854463973,2.040480500246832
1.3530654261483779,2.054000331290376
1.3624025965487532,2.068045363575717
1.3857259990249473,2.0819341840161183
1.4095648113459955,2.09636517328825
1.4192052816132337,2.1106382978723404
1.4436590549457147,2.125471374700034
1.4681664508138836,2.140144977562996
1.4933235043652737,2.1553971840778723
1.5185361950635745,2.170488359880973
1.5589357301947853,2.1857923497267757
1.544154569661303,2.1857923497267757
1.5853145914777216,2.2017045454545454
1.6117972492151036,2.217453505007153
1.699684468818757,2.233831742028463
1.6844960566049096,2.233831742028463
1.6692666918277879,2.233831742028463
1.6540886701143416,2.233831742028463
1.6389158304490008,2.233831742028463
1.7276850422653456,2.2504537205081667
1.7404126828060873,2.2669104204753197
1.7844082872704758,2.283609576427256
1.7688181707887254,2.283609576427256
1.8158444222284356,2.2840302081414623
1.8002880331768127,2.2840302081414623
1.8450474604279448,2.3009834848766
1.874740737456567,2.318190315946906
1.905197428147393,2.3360964581763373
1.9518745133596818,2.353834472285497
1.9358151013884377,2.353834472285497
1.9996706953300114,2.3722976850966133
1.9834741723616103,2.3722976850966133
2.031467990927765,2.3905918642760744
2.0151409469167874,2.3905918642760744
2.064216288058341,2.4096385542168677
2.0477034443737487,2.4096385542168677
2.0804376347670956,2.4285154719937325
2.0806030195013783,2.4481737413622904
2.063515059923175,2.467661691542289
2.0803627724422027,2.467661691542289
2.06314737346212,2.4874623871614845
2.0460906401694396,2.5080906148867315
2.063196801184552,2.5080906148867315
2.0110781750845224,2.528548123980424
2.028306145519221,2.528548123980424
2.0455924097701708,2.528548123980424
1.9755960993926287,2.549342105263158
1.9929479374070418,2.549342105263158
2.01030571398378,2.549342105263158
1.9045885807672138,2.570480928689884
1.922054420367472,2.570480928689884
1.939526227334939,2.570480928689884
1.957057138802053,2.570480928689884
1.9744877596917119,2.570480928689884
1.8677671394560258,2.591973244147157
1.8853075197091054,2.591973244147157
1.9033587359758175,2.592515157850721
1.7952736554257345,2.6143790849673203
1.8129893860922632,2.6143790849673203
1.830711153011161,2.6143790849673203
1.8484389602972608,2.6143790849673203
1.8662267235729157,2.6143790849673203
1.6855397585677145,2.6366149266425687
1.7034720014442821,2.6366149266425687
1.721301969468558,2.6366149266425687
1.7391380002745453,2.6366149266425687
1.7569800979867325,2.6366149266425687
1.7748282667338313,2.6366149266425687
1.7926825106487578,2.6366149266425687
1.5564584208310273,2.6592322539137894
1.574386472253278,2.6592322539137894
1.5922660809608076,2.6592322539137894
1.610315350594044,2.6592322539137894
1.6282616654742503,2.6592322539137894
1.6462140702732966,2.6592322539137894
1.664172569125717,2.6592322539137894
1.6821371661702398,2.6592322539137894
1.5157127298627489,2.682240969067705
1.5338324538955772,2.682240969067705
1.5519033966452667,2.682240969067705
1.3288454372552014,2.705651320096007
1.347055477412896,2.705651320096007
1.3652164702826526,2.705651320096007
1.3833835926342293,2.705651320096007
1.4015568486065029,2.705651320096007
1.4197362423425803,2.705651320096007
1.4379217779897384,2.705651320096007
1.456168762937997,2.705651320096007
1.4743666135660272,2.705651320096007
1.4925706185849252,2.705651320096007
1.5107807821588162,2.705651320096007
1.2856941376064532,2.729473915914594
1.3039903414285317,2.729473915914594
1.3222927120418482,2.729473915914594
1.2233421344538173,2.75371974239396
1.2417760184359443,2.75371974239396
1.2602721656143134,2.75371974239396
1.2787184823162951,2.75371974239396
1.1042876826923451,2.7784001792516246
1.1228430764482233,2.7784001792516246
1.141404701253937,2.7784001792516246
1.160029008069467,2.7784001792516246
1.1786031265091572,2.7784001792516246
1.1971834885829482,2.7784001792516246
1.2157700984898225,2.7784001792516246
0.9833877375047276,2.80352701786118
0.9646579357049072,2.80352701786118
1.03944443980816,2.80352701786118
1.0581993770047227,2.80352701786118
1.0769037611436258,2.80352701786118
1.0956144200496045,2.80352701786118
0.9735760981163138,2.8291124800365046
0.9924195850713396,2.8291124800365046
0.9735760981163138,2.8291124800365046
0.9924195850713396,2.8291124800365046
1.0112693828727881,2.8291124800365046
1.030360576875582,2.8297581013235966
0.9638119731111091,2.8558268079226163
0.9827692395310466,2.8558268079226163
0.9638119731111091,2.8558268079226163
0.9827692395310466,2.8558268079226163
0.9536463487375447,2.8823802882380285
0.972831821968209,2.8823802882380285
0.9536463487375447,2.8823802882380285
0.972831821968209,2.8823802882380285
0.962655424553917,2.9094321914594086
0.962655424553917,2.9094321914594086
0.9432963479106798,2.9094321914594086
0.9916191235703444,2.937692489931296
0.9720654458383694,2.937692489931296
0.9525183080672972,2.937692489931296
0.9329183219145261,2.937692489931296
1.0011660445383548,2.9657976560631427
0.9616911079080825,2.9657976560631427
0.9419635389919365,2.9657976560631427
1.0311451704255346,2.995169082125604
1.081622970492257,3.024390243902439
1.0614718922745172,3.024390243902439
1.112971798077352,3.054939640305494
1.2064995287464029,3.085344613087833
1.1447449809480723,3.085344613087833
1.219061030831907,3.117144293614882
1.219061030831907,3.117144293614882
1.1981937787466044,3.117144293614882
1.1773967482468943,3.117144293614882
1.2314435705051614,3.148806500761808
1.2104920919782116,3.148806500761808
1.2445286005371217,3.1819348216576855
1.2574353010871566,3.214933886440239
1.2708102493275628,3.2486245742729896
1.2846754000688232,3.2838983050847457
1.2984972965452362,3.3190578158458246
1.3129736101170997,3.3558863328822732
1.3274803472317158,3.3926128590971274
